iter	Logloss
0	0.603592361
1	0.5372254399
2	0.4822097604
3	0.4215449292
4	0.3747022645
5	0.3376767554
6	0.3023049006
7	0.272446774
8	0.2497128099
9	0.2294279956
10	0.2118246438
11	0.1957198323
12	0.1830451925
13	0.1690274985
14	0.15942163
15	0.1502765702
16	0.1427133493
17	0.1360307111
18	0.1301173312
19	0.124885459
20	0.1208822401
21	0.1179149492
22	0.1141039398
23	0.1092210382
24	0.1055070354
25	0.1009753793
26	0.09750758657
27	0.09436087403
28	0.09192837784
29	0.08915394897
30	0.08734033082
31	0.08635532214
32	0.08430102384
33	0.08311758017
34	0.08178491295
35	0.08058716271
36	0.0798800279
37	0.07874801682
38	0.07717147024
39	0.07522350501
40	0.07451552928
41	0.07386784185
42	0.07237720059
43	0.07153999107
44	0.07086956121
45	0.07004325713
46	0.06963284121
47	0.06869061868
48	0.06805908861
49	0.06760475552
50	0.06736956085
51	0.06667525314
52	0.06584090306
53	0.06531388226
54	0.06475671587
55	0.06425767935
56	0.06396848775
57	0.06381535447
58	0.06321726925
59	0.06284352594
60	0.06253926873
61	0.06200576808
62	0.06168930091
63	0.06115350634
64	0.06072087386
65	0.0600935479
66	0.05990005142
67	0.05961990284
68	0.05932127829
69	0.05888877602
70	0.05853642257
71	0.0581916594
72	0.05793256892
73	0.0574152256
74	0.05718563925
75	0.05687734293
76	0.0566047996
77	0.05637828622
78	0.05610138834
79	0.0559695816
80	0.05575252409
81	0.05558714648
82	0.05537033781
83	0.05502360289
84	0.05490849102
85	0.05467148429
86	0.05445203464
87	0.05427620977
88	0.05411412843
89	0.05382183482
90	0.05364223749
91	0.05309748429
92	0.05286541905
93	0.05270846399
94	0.0524322746
95	0.05231836263
96	0.05200444545
97	0.05185499094
98	0.05140969366
99	0.05097853912
100	0.05073722193
101	0.05052260856
102	0.05032469743
103	0.0500076875
104	0.04947998978
105	0.04914974151
106	0.04903372736
107	0.04884812696
108	0.04866563525
109	0.04856068704
110	0.04840886626
111	0.04824711096
112	0.0481536735
113	0.04804707277
114	0.04784269332
115	0.04767677539
116	0.04743927496
117	0.04725086939
118	0.04690860061
119	0.04663386081
120	0.04646836031
121	0.04632324722
122	0.04608641097
123	0.04586528656
124	0.04575262775
125	0.04559078982
126	0.04545899359
127	0.0453205638
128	0.04503253111
129	0.04480570648
130	0.04471657454
131	0.04459521675
132	0.04447724059
133	0.04431832873
134	0.04417846271
135	0.0440066442
136	0.043935354
137	0.0437681439
138	0.04321096503
139	0.04297315181
140	0.04289724768
141	0.04274275909
142	0.0425376251
143	0.04231211999
144	0.04204876764
145	0.04191136493
146	0.0418181385
147	0.04163221846
148	0.0414868889
149	0.04139908284
150	0.04127319292
151	0.04117273417
152	0.0410567788
153	0.04080885733
154	0.04067222584
155	0.04046348307
156	0.04038371404
157	0.04033689977
158	0.04008358532
159	0.03997493557
160	0.03977371137
161	0.03965430714
162	0.03956856177
163	0.03941376153
164	0.03930710372
165	0.03917284678
166	0.0390830771
167	0.03901604568
168	0.03882100533
169	0.03863680484
170	0.03843914971
171	0.03814123
172	0.03803960185
173	0.03781500983
174	0.0376590549
175	0.03748547778
176	0.03740505541
177	0.03728779033
178	0.03709966908
179	0.0368926203
180	0.03677384019
181	0.03666054768
182	0.03648415728
183	0.03633378289
184	0.03626810685
185	0.03614826174
186	0.03593458723
187	0.03576867354
188	0.03567338034
189	0.03554909918
190	0.03542658526
191	0.03535330669
192	0.03528734683
193	0.03514829529
194	0.03497528419
195	0.03491724281
196	0.03484222612
197	0.03470069263
198	0.0346084445
199	0.03454157306
200	0.03448574262
201	0.03436799799
202	0.03429404019
203	0.0341891335
204	0.03405869386
205	0.03394211533
206	0.03385929922
207	0.03372762899
208	0.03363190622
209	0.03354581798
210	0.03345332689
211	0.03336824713
212	0.03323313294
213	0.03316101805
214	0.03302736492
215	0.0329275198
216	0.03281422469
217	0.03267389696
218	0.03253841938
219	0.03244251563
220	0.03230146096
221	0.03213884684
222	0.03198810771
223	0.03191988326
224	0.03183082438
225	0.03173567038
226	0.03160742365
227	0.03151519178
228	0.03146833952
229	0.03127186766
230	0.03109223552
231	0.03101355009
232	0.0308915054
233	0.03079622447
234	0.03070640657
235	0.03056849994
236	0.03049064104
237	0.03042496155
238	0.03032111289
239	0.03027715894
240	0.03022143481
241	0.03006747268
242	0.02999137511
243	0.02982190957
244	0.02971519748
245	0.02961921682
246	0.02950220041
247	0.02940291811
248	0.02932675863
249	0.02924912824
250	0.02916728948
251	0.02908448385
252	0.0290320705
253	0.02890381126
254	0.02882365495
255	0.02875742667
256	0.02864845604
257	0.02855103922
258	0.02848947626
259	0.02840303248
260	0.02836337156
261	0.02827692587
262	0.02821592606
263	0.0280845295
264	0.02802011032
265	0.02795585175
266	0.02790685625
267	0.02783787907
268	0.02778780854
269	0.02767058385
270	0.02761203062
271	0.02753736355
272	0.0273927159
273	0.02724581292
274	0.02719845181
275	0.0271322355
276	0.02707653615
277	0.02698487972
278	0.02694007879
